Sale_Title,Sale_Price,Orignal_Price,Discount,Item_Sold
M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,Rs.69,Rs.100,-73%,9 sold
Fairy Lights Good Quality upto 25 Feet Length Decoration String Light For Function Party Eid Milad Home Decoration,Rs.109,Rs.400,-20%,6 sold
"KN95 Face Protective Mask with Respirator, 5 Layers Protection - CE Certified - Gray",Rs.168,Rs.210,-8%,8 sold
dFresh: Pea (Matar) (0.5 Kg),Rs.95,Rs.103,-44%,11 sold
6Pcs Kitchen Reusable Silicone Stretch Seal Lid Preservation Vacuum Food Storage Bowl Cover,Rs.219,Rs.389,-8%,19 sold
dFresh: Pomegranate Kandhari (1 kg box),Rs.235,Rs.255,-60%,19 sold
Portable Bamboo Charcoal Clothes Blanket Large Folding Bag Storage Box Organizer,Rs.80,Rs.199,-60%,19 sold
HS Collections GOLDEN COLOR Magnetic Wrist Watch for Girls HS787,Rs.199,Rs.499,-4%,19 sold
NESTLE EVERYDAY 600g - Mix Tea Whitener Pack of 2,Rs.999,"Rs.1,040",-50%,18 sold
Sherooz Collection Led Sports Watch - Black,Rs.100,Rs.199,-66%,18 sold
Multifunction Nicer Dicer plus speedy chopper High Quality New High Speedy Design Vegetable Fruit Twist Shredder Manual Meat Grinder Chopper Garlic Cutter,Rs.359,"Rs.1,050",-55%,18 sold
Pack of 6 - Peel Off Nail Paints - Multicolor,Rs.179,Rs.399,-17%,18 sold
ENRG Mobile Gaming Triggers Controller Fire Buttons L1 R1 For Mobile Gamers PUBG - Red,Rs.125,Rs.150,-4%,17 sold
ENRG Pubg Triggers Fire Button/Anti-Sweat Breathable Thumb Gloves Sleeve for Gaming,Rs.115,Rs.120,-12%,16 sold
8% OFF ON BROOKE BOND SUPREME TEA 475G,Rs.419,Rs.475,-20%,16 sold
Sanitizer - for Hands - Body - 500ml - SAC,Rs.279,Rs.350,-40%,15 sold
Super Strong Faced Powerful Adhesive Foam Paper Double Sided Tape For Mounting Fixing Pad Sticky 1 Inch,Rs.59,Rs.99,-77%,5 sold
Pack of 12 Lipsticks,Rs.395,"Rs.1,699",-31%,8 sold
pack of 6 - MISS ROSE WATERPROOF BASE ( IVVORY / FS 45 /FS 38 /F 1 /FS 36 /1 W),Rs.269,Rs.390,-55%,13 sold
Thermal Fleece Balaclava Hat Hood Ski Bike Wind Stopper Mask Monkey Cap,Rs.449,Rs.999,-70%,13 sold
Aluma Wallet Resistant Card Protect Card Holder 6 pockets Ultra Slim Portable For Travel,Rs.59,Rs.199,-60%,5 sold
Pack of 2 M3 Touch Led Bracelet Digital Watch Band,Rs.199,Rs.499,-58%,5 sold
Door Draft & Dust Stopper (Insect Protector) (18 to 44 inches) - Please select the required size before order - Black,Rs.84,Rs.199,-10%,5 sold
Lunar P-2 - Stereo Handsfree Platinum Series,Rs.270,Rs.300,-8%,12 sold
dFresh: Premium Potatoes (Red) (1 Kg),Rs.111,Rs.121,-8%,12 sold
dFresh: Apple Golden (Saib) (1kg),Rs.104,Rs.113,-67%,12 sold
Tv Paint Stick For Fair Skin Tone,Rs.99,Rs.299,-48%,2 sold
Kitchen Cabinet Door Garbage Trash Bag Plastic Bracket Towel Hanging Holder,Rs.99,Rs.189,-33%,11 sold
GiONEE 100% Pure Original Imported Handsfree(Must Watch upper video to identifiy the difference between original and fake gionee),Rs.399,Rs.599,-41%,11 sold
ORIGINAL Warner 1.2 Meter Micro USB 3.0 Fast Charging + Data Cable For Samsung / HTC / Infinix / Xiaomi / Oppo / Huawei / Nokia / Lenovo / Android Phones - Black & Red,Rs.175,Rs.299,-54%,11 sold
Online Sale Black Stainless Steel Crystal Wrist Watch Simple Quartz Watch Men Women,Rs.319,Rs.699,-33%,11 sold
Pack of 2 M3 Touch Led Bracelet Digital Watch Band,Rs.199,Rs.299,-60%,10 sold
Pack of 100 - 3D Stars Glow In The Dark Wall Stickers Luminous Fluorescent Wall Stickers For Kids Baby Room Bedroom Ceiling Home Decor,Rs.79,Rs.199,-37%,10 sold
Black Leather Skeleton Watch for Men,Rs.189,Rs.299,-5%,6 sold
Dettol Antiseptic Liquid 1l,Rs.899,Rs.950,-75%,9 sold
Kitchen Microwave Oven Dust Cover Printer Oil Proof Dustproof Decorative Storage Bags Microwave Covers Organizer,Rs.99,Rs.399,-52%,6 sold
D9 Trigger Triger + Thumb Gloves Sleeves For Pubg Mobile Controller Gamepad,Rs.145,Rs.300,-75%,6 sold
M5 WIRELESS BLUETOOTH EARPHONES SPORT RUNNING HEADPHONES METAL MAGNETIC HEADSET STEREO BASS EARBUDS HANDSFREE WITH MIC/ Magnetic Handfree / Handsfree / Wirless Handfree / Sports Handfree 4,Rs.249,Rs.999,-74%,3 sold
Hanger New Look - Multi-purpose Trousers Hanger 5 Layers Pants Hanger,Rs.79,Rs.299,-53%,3 sold
Electric Hand Held Milk Coffee Beater,Rs.234,Rs.499,-67%,6 sold
Protection Plus KN 95 Face Mask | KN95 Premium Quality Face Mask 5 Layers With Filter | with Nose Pin Mask | N95 Standard,Rs.99,Rs.300,-38%,3 sold
Buy Sensodyne Deep Clean Toothpaste 100gm + Sensodyne Toothbrush at 38% off,Rs.245,Rs.395,-40%,4 sold
WaterProof luxury ladies magnetic watch For Girls,Rs.199,Rs.329,-8%,7 sold
dFresh: Pine Nut Whole (250gm),"Rs.1,398","Rs.1,519",-50%,7 sold
Pack of 10 Tea Candle - Romantic Floating Candles - Lavender Fragrance,Rs.99,Rs.199,-40%,7 sold
Reusable Expert Catch Mouse Glue Traps Mouse Size Glue Traps Sticky Boards Mouse Catcher Mice Professional Strength Glue Insect Lizard Spider Cockroach Rodent Snake Strongly,Rs.72,Rs.120,-51%,7 sold
Door Draft & Dust Stopper (Insect Protector) (18 to 44 inches) - Please select the required size before order - Black,Rs.98,Rs.199,-72%,7 sold
Cute Hello Kitty 7 Makeup Foundation Powder Eye shadow Brushes Set,Rs.169,Rs.599,-57%,7 sold
"Tinkle Eyebrow Razor 3 Pack, Eyebrow Face Hair Removal & Shaper (3 Pieces)",Rs.151,Rs.350,-75%,5 sold
M5 WIRELESS BLUETOOTH EARPHONES SPORT RUNNING HEADPHONES METAL MAGNETIC HEADSET STEREO BASS EARBUDS HANDSFREE WITH MIC/ Magnetic Handfree / Handsfree / Wirless Handfree / Sports Handfree,Rs.249,Rs.999,-42%,5 sold
"Pack of 3 Tinkle Eyebrow Razor,Facial Hair Remover Eyebrow Trimmer,Sharp Mini Makeup Shaper",Rs.87,Rs.149,-56%,3 sold
Manual Water Dispenser Pump For Water Bottles,Rs.222,Rs.499,-50%,2 sold
Pack Of 3 Portable storage bag Organizer cloth Storage Box Bamboo Clothing Storing Bag on sale,Rs.399,Rs.799,-30%,5 sold
Magic Hanger - Smart Cloth Organizing,Rs.69,Rs.99,-8%,1 sold
dFresh: Pistachio Whole (250gm),Rs.408,Rs.443,-55%,4 sold
Surgical_Face_Mask_Disposable 3_Ply 50 Mask Box 65-GSM 100%_Hygienic Pakistan_No_1,Rs.399,Rs.888,-3%,4 sold
Dettol Antiseptic liquid 500 ml,Rs.660,Rs.680,-60%,4 sold
KN95/KN 95 FACE MASK RESPIRATOR WITH VALVE,Rs.139,Rs.348,-64%,4 sold
Flawless Laser Facial Hair Remover For Women Painless Hair Remover For Gentle And Smooth Skin For All Body Parts Ladies Shaver Machine With Heavy Duty Batteries,Rs.359,Rs.999,-64%,2 sold
KN95/ KN 95 MASK WITH RESPIRATOR,Rs.125,Rs.350,-66%,3 sold
Miss Rose 5 in1 Face powder,Rs.135,Rs.399,-50%,1 sold
Door Draft & Dust & Air Stopper (Insect Protector) (32 inches - 44 inches) Please select the required size before order - Black,Rs.150,Rs.300,-70%,1 sold
High Quality Stylish Casual Wrist Watch for Men - Silver Black Chain - Waterproof,Rs.299,Rs.999,-33%,500 in stock
Pack of 3 - Portable Bamboo Charcoal Clothes Blanket Large Folding Bag Storage Box Organizer,Rs.269,Rs.399,-36%,500 in stock
Reusable Expert Catch Mouse & Rat Glue Catch Trap,Rs.105,Rs.165,-8%,1839 in stock
